lng,lat
-73.9473854,40.7792488
-73.9915054,40.7458687
-73.9472441,40.7480907
-78.8417723,42.9373491
-77.6546334,43.1380436
-78.4295162,42.079253
-78.8783922,42.8867166
-73.4983826,40.756281
-73.7600255,40.7218835
-78.8412571,43.0153897
-78.8773339,42.8999255
-78.8599,42.9499
-77.6617641,42.3537902
-73.9292707,40.6380369
-73.9491939,40.6749104
-74.3977718,41.4453948
-74.0771804,40.6369318
-73.7982438,40.7108269
-78.8757892,42.8923717
-73.906707,40.817037
-77.5839595,43.188433
-78.7770687,43.0089665
-74.7454617,43.0584579
-73.4155004,40.756592
-73.7541502,42.770876
-73.3773574,40.7382549
-73.9052048,40.7416555
-73.5866,40.6536
-73.5541183,40.7699173
-73.9887175,40.7521045
-77.4658544,43.1962877
-74.1007642,41.5396353
-73.0914392,40.7761096
-73.9418037,40.7148112
-73.6576488,40.8156003
-76.7759526,42.005042
-73.9913612,40.7167393
-73.549961,40.656519
-73.81902,40.6701
-73.8495,40.8702
-73.9944346,40.7496553
-73.9376118,40.7241922
-73.9507,40.8246
-73.9280564,40.8063748
-73.5970395,43.0109855
-73.8688337,40.7522364
-73.8111,40.7029
-74.5067223,42.7020257
-73.8604035,40.6679307
-73.924441,40.771776
-75.7967,42.0695
-73.7664443,42.657402
-73.4781115,40.6785795
-73.8047147,42.6947664
-73.8277638,40.8918833
-73.7596874,42.6553203
-73.6706705,40.744332
-73.9925,40.7547
-77.436,43.0892
-73.0464,40.9136
-73.8575,42.7003
-73.7126087,42.7139976
-73.9683,40.7975
-73.4271483,40.7254626
-78.8828807,42.9968331
-73.8410027,40.8564516
-73.8096,40.7851
-73.8446761,40.7878937
-74.0736,41.1163
-73.9837188,40.7148216
-73.7268016,42.7775877
-73.7952599,42.2489949
-73.9868496,40.7497605
-73.838475,40.8986869
-72.8669458,40.8300378
-73.9538062,40.780257
-73.9904952,40.763127
-78.8737893,42.8899056
-74.1997886,41.5634768
-73.2357436,40.810191
-73.9816488,40.7498082
-73.7045754,40.6854998
-74.0127128,40.7057867
-73.6982006,42.6177184
-74.1337383,42.76202
-73.9855384,40.7285786
-73.7442178,42.6414235
-74.1003753,40.5899183
-75.7525389,43.07411
-72.7851071,40.9489249
-75.5974597,43.245346
-73.9366495,40.8087649
-74.1228392,44.3238448
-73.9837699,40.702457
-73.9683,40.7975
-74.0201487,41.5172134
-73.9963004,41.1828829
-73.882943,40.74161
-73.7011911,42.7752873
-73.9764,40.7864
-74.0054671,40.707603
-73.6657561,40.7999005
-74.1244,41.9838
-73.894,40.6705
-74.0548605,41.6907365
-73.9476895,40.7816975
-74.005323,40.7272672
-73.7559,40.6645
-73.9363484,40.7970157
-73.9475,40.6011
-73.9786257,40.6851843
-73.7012299,42.7300784
-73.2621927,40.8110127
-77.6905662,43.2646749
-73.9919936,40.7286148
-73.7979805,42.904833
-73.6995683,42.5461521
-73.9844068,40.7523783
-73.830448,40.8855745
-77.6511559,43.1366815
-73.9843426,40.702827
-73.9296,40.8583
-77.6241329,43.1640948
-73.9565958,40.6763121
-73.5595107,40.7142296
-91.09597,39.63616
-73.7395,41.0592
-73.7559,40.6645
-73.8184913,40.9542799
-74.0704351,42.04763
-78.8395156,42.9845783
-73.810648,42.91661
-73.4309338,40.8915585
-73.8479857,40.8890359
-73.9414344,40.8273767
-73.9438303,40.8016338
-73.9765766,40.7930879
-73.990005,40.7584222
-77.443014,43.0993
-73.7773545,42.683684
-73.9295801,40.7054968
-73.2633764,40.7114201
-76.1518487,43.0517655
-73.9426,40.8183
-78.6987067,42.7897213
,
-73.841,40.8465
-77.5894475,43.1461408
-73.7966,40.6763
